m,m
visibility_time_averaged-z,visibility_time_averaged
 1.0000000E-003, 3.0000000E+001
 3.0303030E-002, 3.0000000E+001
 6.0606061E-002, 3.0000000E+001
 9.0909091E-002, 3.0000000E+001
 1.2121212E-001, 3.0000000E+001
 1.5151515E-001, 3.0000000E+001
 1.8181818E-001, 3.0000000E+001
 2.1212121E-001, 3.0000000E+001
 2.4242424E-001, 3.0000000E+001
 2.7272727E-001, 3.0000000E+001
 3.0303030E-001, 3.0000000E+001
 3.3333333E-001, 3.0000000E+001
 3.6363636E-001, 3.0000000E+001
 3.9393939E-001, 3.0000000E+001
 4.2424242E-001, 3.0000000E+001
 4.5454545E-001, 3.0000000E+001
 4.8484848E-001, 3.0000000E+001
 5.1515152E-001, 3.0000000E+001
 5.4545455E-001, 3.0000000E+001
 5.7575758E-001, 3.0000000E+001
 6.0606061E-001, 3.0000000E+001
 6.3636364E-001, 3.0000000E+001
 6.6666667E-001, 3.0000000E+001
 6.9696970E-001, 3.0000000E+001
 7.2727273E-001, 3.0000000E+001
 7.5757576E-001, 3.0000000E+001
 7.8787879E-001, 3.0000000E+001
 8.1818182E-001, 3.0000000E+001
 8.4848485E-001, 3.0000000E+001
 8.7878788E-001, 3.0000000E+001
 9.0909091E-001, 3.0000000E+001
 9.3939394E-001, 3.0000000E+001
 9.6969697E-001, 3.0000000E+001
 1.0000000E+000, 3.0000000E+001
 1.0303030E+000, 3.0000000E+001
 1.0606061E+000, 3.0000000E+001
 1.0909091E+000, 3.0000000E+001
 1.1212121E+000, 3.0000000E+001
 1.1515152E+000, 3.0000000E+001
 1.1818182E+000, 3.0000000E+001
 1.2121212E+000, 3.0000000E+001
 1.2424242E+000, 3.0000000E+001
 1.2727273E+000, 3.0000000E+001
 1.3030303E+000, 3.0000000E+001
 1.3333333E+000, 3.0000000E+001
 1.3636364E+000, 3.0000000E+001
 1.3939394E+000, 3.0000000E+001
 1.4242424E+000, 3.0000000E+001
 1.4545455E+000, 3.0000000E+001
 1.4848485E+000, 3.0000000E+001
 1.5151515E+000, 3.0000000E+001
 1.5454545E+000, 3.0000000E+001
 1.5757576E+000, 3.0000000E+001
 1.6060606E+000, 3.0000000E+001
 1.6363636E+000, 3.0000000E+001
 1.6666667E+000, 3.0000000E+001
 1.6969697E+000, 3.0000000E+001
 1.7272727E+000, 3.0000000E+001
 1.7575758E+000, 3.0000000E+001
 1.7878788E+000, 3.0000000E+001
 1.8181818E+000, 3.0000000E+001
 1.8484848E+000, 3.0000000E+001
 1.8787879E+000, 3.0000000E+001
 1.9090909E+000, 3.0000000E+001
 1.9393939E+000, 3.0000000E+001
 1.9696970E+000, 3.0000000E+001
 2.0000000E+000, 3.0000000E+001
 2.0303030E+000, 3.0000000E+001
 2.0606061E+000, 3.0000000E+001
 2.0909091E+000, 3.0000000E+001
 2.1212121E+000, 3.0000000E+001
 2.1515152E+000, 3.0000000E+001
 2.1818182E+000, 3.0000000E+001
 2.2121212E+000, 3.0000000E+001
 2.2424242E+000, 3.0000000E+001
 2.2727273E+000, 3.0000000E+001
 2.3030303E+000, 3.0000000E+001
 2.3333333E+000, 3.0000000E+001
 2.3636364E+000, 3.0000000E+001
 2.3939394E+000, 3.0000000E+001
 2.4242424E+000, 3.0000000E+001
 2.4545455E+000, 3.0000000E+001
 2.4848485E+000, 3.0000000E+001
 2.5151515E+000, 3.0000000E+001
 2.5454545E+000, 3.0000000E+001
 2.5757576E+000, 3.0000000E+001
 2.6060606E+000, 3.0000000E+001
 2.6363636E+000, 3.0000000E+001
 2.6666667E+000, 3.0000000E+001
 2.6969697E+000, 3.0000000E+001
 2.7272727E+000, 3.0000000E+001
 2.7575758E+000, 3.0000000E+001
 2.7878788E+000, 3.0000000E+001
 2.8181818E+000, 3.0000000E+001
 2.8484848E+000, 3.0000000E+001
 2.8787879E+000, 3.0000000E+001
 2.9090909E+000, 3.0000000E+001
 2.9393939E+000, 3.0000000E+001
 2.9696970E+000, 3.0000000E+001
NaN,NaN
